timestamp,hostname,pid,event_type,username,source_ip,port,label,raw_line
Mar 01 00:07:48,server,9482,session_opened,ravi,unknown,0,normal,Mar 01 00:07:48 server sshd[9482]: pam_unix(sshd:session): session opened for user ravi
Mar 01 00:09:47,server,2301,session_opened,rahul,unknown,0,normal,Mar 01 00:09:47 server sshd[2301]: pam_unix(sshd:session): session opened for user rahul
Mar 01 00:09:48,server,3699,invalid_user_login,test,172.16.0.200,46352,abnormal,Mar 01 00:09:48 server sshd[3699]: Failed password for invalid user test from 172.16.0.200 port 46352 ssh2
Mar 01 00:10:29,server,,sudo_command,rahul,unknown,0,normal,Mar 01 00:10:29 server sudo: rahul : TTY=pts/0 ; PWD=/home/rahul ; USER=root ; COMMAND=/bin/ls
Mar 01 00:13:50,server,3172,invalid_user_login,test,10.0.0.100,51916,abnormal,Mar 01 00:13:50 server sshd[3172]: Failed password for invalid user test from 10.0.0.100 port 51916 ssh2
Mar 01 00:16:04,server,8136,failed_login,root,172.16.0.200,43597,suspicious,Mar 01 00:16:04 server sshd[8136]: Failed password for root from 172.16.0.200 port 43597 ssh2
Mar 01 00:17:23,server,5859,breakin_attempt,unknown,10.0.0.101,0,abnormal,Mar 01 00:17:23 server sshd[5859]: POSSIBLE BREAK-IN ATTEMPT from 10.0.0.101
Mar 01 00:19:11,server,6665,failed_login,test,10.0.0.100,45053,suspicious,Mar 01 00:19:11 server sshd[6665]: Failed password for test from 10.0.0.100 port 45053 ssh2
Mar 01 00:27:28,server,4794,breakin_attempt,unknown,10.0.0.100,0,abnormal,Mar 01 00:27:28 server sshd[4794]: POSSIBLE BREAK-IN ATTEMPT from 10.0.0.100
Mar 01 00:32:26,server,,sudo_command,manohar,unknown,0,normal,Mar 01 00:32:26 server sudo: manohar : TTY=pts/0 ; PWD=/home/manohar ; USER=root ; COMMAND=/bin/ls
Mar 01 00:38:51,server,4854,session_opened,manohar,unknown,0,normal,Mar 01 00:38:51 server sshd[4854]: pam_unix(sshd:session): session opened for user manohar
Mar 01 00:41:20,server,1567,breakin_attempt,unknown,172.16.0.200,0,abnormal,Mar 01 00:41:20 server sshd[1567]: POSSIBLE BREAK-IN ATTEMPT from 172.16.0.200
Mar 01 00:42:38,server,3021,session_opened,rahul,unknown,0,normal,Mar 01 00:42:38 server sshd[3021]: pam_unix(sshd:session): session opened for user rahul
Mar 01 00:52:03,server,,sudo_command,manohar,unknown,0,normal,Mar 01 00:52:03 server sudo: manohar : TTY=pts/0 ; PWD=/home/manohar ; USER=root ; COMMAND=/bin/ls
Mar 01 00:56:22,server,3581,invalid_user_login,test,10.0.0.101,53015,abnormal,Mar 01 00:56:22 server sshd[3581]: Failed password for invalid user test from 10.0.0.101 port 53015 ssh2
Mar 01 00:59:48,server,4561,accepted_login,ravi,192.168.1.51,44916,normal,Mar 01 00:59:48 server sshd[4561]: Accepted password for ravi from 192.168.1.51 port 44916 ssh2
Mar 01 01:01:19,server,4435,invalid_user_login,test,10.0.0.101,49225,abnormal,Mar 01 01:01:19 server sshd[4435]: Failed password for invalid user test from 10.0.0.101 port 49225 ssh2
Mar 01 01:10:34,server,6704,accepted_login,ravi,192.168.1.50,53092,normal,Mar 01 01:10:34 server sshd[6704]: Accepted password for ravi from 192.168.1.50 port 53092 ssh2
Mar 01 01:13:32,server,8413,accepted_login,rahul,192.168.1.52,60435,normal,Mar 01 01:13:32 server sshd[8413]: Accepted password for rahul from 192.168.1.52 port 60435 ssh2
Mar 01 01:18:26,server,5364,invalid_user_login,test,172.16.0.200,50332,abnormal,Mar 01 01:18:26 server sshd[5364]: Failed password for invalid user test from 172.16.0.200 port 50332 ssh2
Mar 01 01:25:07,server,4258,accepted_login,manohar,192.168.1.52,53172,normal,Mar 01 01:25:07 server sshd[4258]: Accepted password for manohar from 192.168.1.52 port 53172 ssh2
Mar 01 01:26:05,server,,sudo_command,manohar,unknown,0,normal,Mar 01 01:26:05 server sudo: manohar : TTY=pts/0 ; PWD=/home/manohar ; USER=root ; COMMAND=/bin/ls
Mar 01 01:29:58,server,1399,invalid_user_login,guest,10.0.0.100,53044,abnormal,Mar 01 01:29:58 server sshd[1399]: Failed password for invalid user guest from 10.0.0.100 port 53044 ssh2
Mar 01 01:33:04,server,4460,session_opened,ravi,unknown,0,normal,Mar 01 01:33:04 server sshd[4460]: pam_unix(sshd:session): session opened for user ravi
Mar 01 01:37:23,server,5361,accepted_login,ravi,192.168.1.52,58895,normal,Mar 01 01:37:23 server sshd[5361]: Accepted password for ravi from 192.168.1.52 port 58895 ssh2
Mar 01 01:37:32,server,,sudo_command,ravi,unknown,0,normal,Mar 01 01:37:32 server sudo: ravi : TTY=pts/0 ; PWD=/home/ravi ; USER=root ; COMMAND=/bin/ls
Mar 01 01:40:16,server,4277,accepted_login,manohar,192.168.1.51,46026,normal,Mar 01 01:40:16 server sshd[4277]: Accepted password for manohar from 192.168.1.51 port 46026 ssh2
Mar 01 01:41:33,server,,sudo_command,ravi,unknown,0,normal,Mar 01 01:41:33 server sudo: ravi : TTY=pts/0 ; PWD=/home/ravi ; USER=root ; COMMAND=/bin/ls
Mar 01 01:43:39,server,3929,session_opened,ravi,unknown,0,normal,Mar 01 01:43:39 server sshd[3929]: pam_unix(sshd:session): session opened for user ravi
